index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
7588,ELEC,UNC,Chapel Hill,NC,27514,E,Public,35.9025714,-79.04771240000001,73277,2019-11-14 10:14:28 UTC,US,Public,public,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797,POINT (676181.9530770917 3974902.846189759),80,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797
4151,ELEC,LEITH BMW,Raleigh,NC,27616,E,Public,35.8633385,-78.5831355,60861,2019-11-14 10:14:28 UTC,US,Public,public,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333309,476.99177616965557,6.1674992500052435,POINT (718221.9195951591 3971488.220916),246,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333309,476.99177616965557,6.1674992500052435
4281,ELEC,Fred Anderson Nissan,Raleigh,NC,27617,E,Public - Call ahead,35.896757,-78.760671,61410,2019-09-09 14:29:53 UTC,US,Public - Appeler à l'avance,public,5875,Wake,37,NORTH CAROLINA,37183,Wake,37183053724,0.0773,5.9410744349872155,988.8783694413756,6.896571340683879,POINT (702104.3520941907 3974813.772391204),224,5875,Wake,37,NORTH CAROLINA,37183,Wake,37183053724,0.0773,5.9410744349872155,988.8783694413756,6.896571340683879
4282,ELEC,Fred Anderson Nissan,Raleigh,NC,27617,E,Private,35.896757,-78.760671,61411,2019-09-09 14:29:53 UTC,US,Privé,private,5875,Wake,37,NORTH CAROLINA,37183,Wake,37183053724,0.0773,5.9410744349872155,988.8783694413756,6.896571340683879,POINT (702104.3520941907 3974813.772391204),224,5875,Wake,37,NORTH CAROLINA,37183,Wake,37183053724,0.0773,5.9410744349872155,988.8783694413756,6.896571340683879
4334,ELEC,Imperial Center,Durham,NC,27703,E,Public,35.877097,-78.842616,61524,2019-10-04 14:44:17 UTC,US,Public,public,6001,Durham,37,NORTH CAROLINA,37063,Durham,37063002028,0.1425,21.94345086249522,273.4756733389025,5.611212672161714,POINT (694755.6766803731 3972466.259117176),55,6001,Durham,37,NORTH CAROLINA,37063,Durham,37063002028,0.1425,21.94345086249522,273.4756733389025,5.611212672161714
14115,ELEC,PowerSecure,Durham,NC,27703,E,Private,35.921114,-78.841953,96925,2019-11-08 19:38:10 UTC,US,Privé,private,6001,Durham,37,NORTH CAROLINA,37063,Durham,37063002028,0.1425,21.94345086249522,273.4756733389025,5.611212672161714,POINT (694707.6404755613 3977350.718345381),55,6001,Durham,37,NORTH CAROLINA,37063,Durham,37063002028,0.1425,21.94345086249522,273.4756733389025,5.611212672161714
4414,ELEC,Town of Apex - Saunders Street Parking Lot,Apex,NC,25702,E,Public,35.7318283,-78.8544049,61816,2019-10-04 14:44:17 UTC,US,Public,public,5267,Wake,37,NORTH CAROLINA,37183,Wake,37183053416,0.1453,7.636105647214437,689.7494931754042,6.5363284783024955,POINT (694044.5076461327 3956327.333273754),173,5267,Wake,37,NORTH CAROLINA,37183,Wake,37183053416,0.1453,7.636105647214437,689.7494931754042,6.5363284783024955
4422,ELEC,PERFORMANCE BMW,Chapel Hill,NC,27514,E,Public,35.9453628,-79.0092813,61845,2019-11-14 10:14:28 UTC,US,Public,public,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615132,924.3017649615198,6.829038603780452,POINT (679553.751085803 3979719.894874041),85,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615132,924.3017649615198,6.829038603780452
4541,ELEC,North Carolina Museum of Life and Science,Durham,NC,27704,E,Public - Call ahead,36.030986999999996,-78.898207,62316,2019-10-04 14:44:17 UTC,US,Public - Appeler à l'avance,public,4535,Durham,37,NORTH CAROLINA,37063,Durham,37063000102,0.8547,4.015552998231998,1129.3587712568378,7.029405291575811,POINT (689368.6685810757 3989428.995740508),1,4535,Durham,37,NORTH CAROLINA,37063,Durham,37063000102,0.8547,4.015552998231998,1129.3587712568378,7.029405291575811
4970,ELEC,RTP,Durham,NC,27703,E,Public,35.919842200000005,-78.8779099,63766,2019-11-14 10:14:28 UTC,US,Public,public,4,Durham,,,,,,,21.33587423106502,0.18747767055056982,-1.6740955310604568,POINT (691466.0619528834 3977138.49567795),59,4,Durham,,,,,,,21.33587423106502,0.18747767055056982,-1.6740955310604568
14328,ELEC,Social Security Administration,Research Triangle Park,NC,27709,E,Private,35.877576,-78.88564000000001,98678,2019-05-14 21:16:45 UTC,US,Privé,private,4,Durham,,,,,,,21.33587423106502,0.18747767055056982,-1.6740955310604568,POINT (690870.0161945351 3972434.49407099),59,4,Durham,,,,,,,21.33587423106502,0.18747767055056982,-1.6740955310604568
